Date,Close
1/2/2018,181.419998
1/3/2018,184.669998
1/4/2018,184.330002
1/5/2018,186.850006
1/8/2018,188.279999
1/9/2018,187.869995
1/10/2018,187.839996
1/11/2018,187.770004
1/12/2018,179.369995
1/16/2018,178.389999
1/17/2018,177.600006
1/18/2018,179.800003
1/19/2018,181.289993
1/22/2018,185.369995
1/23/2018,189.350006
1/24/2018,186.550003
1/25/2018,187.479996
1/26/2018,190
1/29/2018,185.979996
1/30/2018,187.119995
1/31/2018,186.889999
2/1/2018,193.089996
2/2/2018,190.279999
2/5/2018,181.259995
2/6/2018,185.309998
2/7/2018,180.179993
2/8/2018,171.580002
2/9/2018,176.110001
2/12/2018,176.410004
2/13/2018,173.149994
2/14/2018,179.520004
2/15/2018,179.960007
2/16/2018,177.360001
2/20/2018,176.009995
2/21/2018,177.910004
2/22/2018,178.990005
2/23/2018,183.289993
2/26/2018,184.929993
2/27/2018,181.460007
2/28/2018,178.320007
3/1/2018,175.940002
3/2/2018,176.619995
3/5/2018,180.399994
3/6/2018,179.779999
3/7/2018,183.710007
3/8/2018,182.339996
3/9/2018,185.229996
3/12/2018,184.759995
3/13/2018,181.880005
3/14/2018,184.190002
3/15/2018,183.860001
3/16/2018,185.089996
3/19/2018,172.559998
3/20/2018,168.149994
3/21/2018,169.389999
3/22/2018,164.889999
3/23/2018,159.389999
3/26/2018,160.059998
3/27/2018,152.220001
3/28/2018,153.029999
3/29/2018,159.789993
4/2/2018,155.389999
4/3/2018,156.110001
4/4/2018,155.100006
4/5/2018,159.339996
4/6/2018,157.199997
4/9/2018,157.929993
4/10/2018,165.039993
4/11/2018,166.320007
4/12/2018,163.869995
4/13/2018,164.520004
4/16/2018,164.830002
4/17/2018,168.660004
4/18/2018,166.360001
4/19/2018,168.100006
4/20/2018,166.279999
4/23/2018,165.839996
4/24/2018,159.690002
4/25/2018,159.690002
4/26/2018,174.160004
4/27/2018,173.589996
4/30/2018,172
5/1/2018,173.860001
5/2/2018,176.070007
5/3/2018,174.020004
5/4/2018,176.610001
5/7/2018,177.970001
5/8/2018,178.919998
5/9/2018,182.660004
5/10/2018,185.529999
5/11/2018,186.990005
5/14/2018,186.639999
5/15/2018,184.320007
5/16/2018,183.199997
5/17/2018,183.759995
5/18/2018,182.679993
5/21/2018,184.490005
5/22/2018,183.800003
5/23/2018,186.899994
5/24/2018,185.929993
5/25/2018,184.919998
5/29/2018,185.740005
5/30/2018,187.669998
5/31/2018,191.779999
6/1/2018,193.990005
6/4/2018,193.279999
6/5/2018,192.940002
6/6/2018,191.339996
6/7/2018,188.179993
6/8/2018,189.100006
6/11/2018,191.539993
6/12/2018,192.399994
6/13/2018,192.410004
6/14/2018,196.809998
6/15/2018,195.850006
6/18/2018,198.309998
6/19/2018,197.490005
6/20/2018,202
6/21/2018,201.5
6/22/2018,201.740005
6/25/2018,196.350006
6/26/2018,199
6/27/2018,195.839996
6/28/2018,196.229996
6/29/2018,194.320007
7/2/2018,197.360001
7/3/2018,192.729996
7/5/2018,198.449997
7/6/2018,203.229996
7/9/2018,204.740005
7/10/2018,203.539993
7/11/2018,202.539993
7/12/2018,206.919998
7/13/2018,207.320007
7/16/2018,207.229996
7/17/2018,209.990005
7/18/2018,209.360001
7/19/2018,208.089996
7/20/2018,209.940002
7/23/2018,210.910004
7/24/2018,214.669998
7/25/2018,217.5
7/26/2018,176.259995
7/27/2018,174.889999
7/30/2018,171.059998
7/31/2018,172.580002
8/1/2018,171.649994
8/2/2018,176.369995
8/3/2018,177.779999
8/6/2018,185.690002
8/7/2018,183.809998
8/8/2018,185.179993
8/9/2018,183.089996
8/10/2018,180.259995
8/13/2018,180.050003
8/14/2018,181.110001
8/15/2018,179.529999
8/16/2018,174.699997
8/17/2018,173.800003
8/20/2018,172.5
8/21/2018,172.619995
8/22/2018,173.639999
8/23/2018,172.899994
8/24/2018,174.649994
8/27/2018,177.460007
8/28/2018,176.259995
8/29/2018,175.899994
8/30/2018,177.639999
8/31/2018,175.729996
9/4/2018,171.160004
9/5/2018,167.179993
9/6/2018,162.529999
9/7/2018,163.039993
9/10/2018,164.179993
9/11/2018,165.940002
9/12/2018,162
9/13/2018,161.360001
9/14/2018,162.320007
9/17/2018,160.580002
9/18/2018,160.300003
9/19/2018,163.059998
9/20/2018,166.020004
9/21/2018,162.929993
9/24/2018,165.410004
9/25/2018,164.910004
9/26/2018,166.949997
9/27/2018,168.839996
9/28/2018,164.460007
10/1/2018,162.440002
10/2/2018,159.330002
10/3/2018,162.429993
10/4/2018,158.850006
10/5/2018,157.330002
10/8/2018,157.25
10/9/2018,157.899994
10/10/2018,151.380005
10/11/2018,153.350006
10/12/2018,153.740005
10/15/2018,153.520004
10/16/2018,158.779999
10/17/2018,159.419998
10/18/2018,154.919998
10/19/2018,154.050003
10/22/2018,154.779999
10/23/2018,154.389999
10/24/2018,146.039993
10/25/2018,150.949997
10/26/2018,145.369995
10/29/2018,142.089996
10/30/2018,146.220001
10/31/2018,151.789993
11/1/2018,151.75
11/2/2018,150.350006
11/5/2018,148.679993
11/6/2018,149.940002
11/7/2018,151.529999
11/8/2018,147.869995
11/9/2018,144.960007
11/12/2018,141.550003
11/13/2018,142.160004
11/14/2018,144.220001
11/15/2018,143.850006
11/16/2018,139.529999
11/19/2018,131.550003
11/20/2018,132.429993
11/21/2018,134.820007
11/23/2018,131.729996
11/26/2018,136.380005
11/27/2018,135
11/28/2018,136.759995
11/29/2018,138.679993
11/30/2018,140.610001
12/3/2018,141.089996
12/4/2018,137.929993
12/6/2018,139.630005
12/7/2018,137.419998
12/10/2018,141.850006
12/11/2018,142.080002
12/12/2018,144.5
